division_index time_step divided_cell_index divided_cell_IsEpidermal division_axisTheta divided_cell_x divided_cell_y cell_division_count av_in_frequency_modifier av_epi_frequency_modifier 
151 12300000 139 0 2.48388 3.75334 23.898 11 2.55197e+15 2.53951e+17
152 12300000 165 0 2.33682 0.685323 25.8038 9 2.53437e+15 2.53951e+17
153 12400000 181 0 0.60505 -5.27403 24.1297 11 2.70964e+15 2.637e+17
154 12400000 188 1 -1.44214 -0.506799 27.7667 7 2.70964e+15 2.59878e+17
155 12600000 189 0 2.79298 -1.34708 25.6993 9 2.76496e+15 2.6516e+17
156 12800000 84 0 0.100206 6.76182 23.0294 9 2.77931e+15 2.66149e+17
157 12800000 159 1 0.752928 6.26128 26.2932 7 2.77931e+15 2.62347e+17
158 12800000 169 0 0.241452 4.85947 22.5808 9 2.76066e+15 2.62347e+17
159 12800000 183 0 0.407049 2.72832 21.4156 11 2.74226e+15 2.62347e+17
160 12800000 187 0 1.40857 2.45457 25.2042 11 2.7241e+15 2.62347e+17
161 12800000 194 0 3.05486 4.98809 20.7401 9 2.70617e+15 2.62347e+17
162 12900000 201 0 1.27567 1.57279 24.2099 11 2.99462e+15 2.62833e+17
163 13100000 162 1 0.201219 9.34098 22.9428 6 2.98749e+15 2.57758e+17
164 13200000 165 0 2.65913 -0.550304 26.819 10 2.97025e+15 2.53022e+17
165 13300000 132 1 -1.14616 -3.64254 28.4228 7 3.08245e+15 2.54615e+17
166 13400000 186 0 1.37284 0.544005 22.1701 11 3.11215e+15 2.59251e+17
167 13400000 197 0 1.12987 -4.72946 24.8659 12 3.0922e+15 2.59251e+17
168 13500000 158 0 2.45839 -7.16217 22.7929 11 3.02237e+15 2.54258e+17
169 13600000 139 0 0.390932 5.31506 26.2725 12 3.05678e+15 2.61043e+17
170 13600000 160 1 -1.06585 -5.32506 28.059 8 3.05678e+15 2.57467e+17
171 13600000 209 0 2.6324 -3.68442 26.46 12 3.03755e+15 2.57467e+17
172 13700000 173 0 2.1087 2.76451 28.1358 10 3.1663e+15 2.65733e+17
173 13700000 189 0 1.59862 -1.89187 28.0966 10 3.14663e+15 2.65733e+17
174 13800000 220 0 0.333347 3.75185 26.1429 12 3.25683e+15 2.72376e+17
175 13900000 187 0 1.46407 1.59117 26.2856 12 3.38285e+15 2.75252e+17
176 14200000 215 0 3.06712 -2.40777 26.1139 10 3.36995e+15 2.73921e+17
177 14300000 144 1 1.50269 2.25008 31.0068 5 3.38115e+15 2.69708e+17
178 14400000 201 0 0.560215 0.866108 24.5482 12 3.54696e+15 2.76517e+17
179 14500000 197 0 0.983217 -6.04248 26.3572 13 3.59215e+15 2.77515e+17
180 14500000 212 0 3.10992 1.43122 29.7109 10 3.57064e+15 2.77515e+17
181 14500000 224 0 1.01464 -0.967003 26.976 11 3.54939e+15 2.77515e+17
182 14600000 193 0 1.94749 5.11814 28.8711 11 3.72192e+15 2.81565e+17
183 14700000 188 1 -1.30516 -1.83307 31.3865 8 3.73548e+15 2.78466e+17
184 14800000 189 0 2.3085 -2.30342 29.6943 11 3.75044e+15 2.80654e+17
185 14800000 195 0 2.65655 7.57616 25.9162 9 3.72851e+15 2.80654e+17
186 14800000 209 0 1.31886 -5.12891 27.7338 13 3.70683e+15 2.80654e+17
187 14900000 139 0 0.791295 6.2954 27.1046 13 3.76663e+15 2.84623e+17
188 14900000 165 0 2.84928 0.029058 29.9723 11 3.74498e+15 2.84623e+17
189 14900000 181 0 1.23776 -7.93421 25.255 12 3.72358e+15 2.84623e+17
190 15000000 174 1 1.12723 5.18122 31.0585 6 3.85989e+15 2.84394e+17
191 15000000 217 1 0.741989 7.84315 29.0299 8 3.85989e+15 2.807e+17
192 15100000 173 0 1.4903 3.07398 30.0142 11 3.97476e+15 2.83702e+17
193 15300000 235 0 2.43476 0.618755 27.4428 13 4.03071e+15 2.86197e+17
194 15400000 225 1 -1.09955 -5.06443 31.0912 8 4.08797e+15 2.85822e+17
195 15500000 187 0 2.60051 2.7227 26.0338 13 4.1147e+15 2.89589e+17
196 15500000 234 0 2.30278 4.25432 27.707 13 4.09172e+15 2.89589e+17
197 15600000 220 0 3.13096 4.6156 25.7563 13 4.15592e+15 2.93507e+17
198 15600000 224 0 2.75836 -2.17713 28.1074 12 4.13296e+15 2.93507e+17
199 15700000 229 0 2.27478 6.31718 25.6075 13 4.22544e+15 2.96058e+17
200 15700000 232 0 1.75503 2.78494 29.0084 11 4.20235e+15 2.96058e+17
201 15800000 233 0 1.80845 -5.30586 29.2119 11 4.24113e+15 2.97775e+17
202 15800000 237 1 1.24534 3.3484 33.1287 6 4.24113e+15 2.94006e+17
203 15900000 215 0 3.04941 -3.55962 27.6464 11 4.34321e+15 2.99397e+17
204 16000000 244 0 2.54055 -3.75654 30.7959 12 4.39453e+15 3.0351e+17
205 16200000 212 0 2.48615 1.26518 30.3786 11 4.46618e+15 3.09355e+17
206 16400000 132 1 -1.06346 -7.87791 30.2421 8 4.58894e+15 3.10672e+17
207 16400000 225 1 -0.970885 -6.29787 31.3067 9 4.58894e+15 3.06837e+17
208 16500000 165 0 2.56164 0.268323 31.9587 12 4.67364e+15 3.15863e+17
209 16500000 235 0 1.73223 1.16238 27.6709 14 4.64891e+15 3.15863e+17
210 16600000 252 0 1.96517 3.72074 31.9309 12 4.73928e+15 3.19382e+17
211 16700000 189 0 1.63816 -1.48694 31.9929 12 4.76053e+15 3.21426e+17
212 16700000 209 0 0.00346116 -5.90259 27.6357 14 4.73573e+15 3.21426e+17
213 16700000 224 0 2.18834 -2.60189 29.7772 13 4.7112e+15 3.21426e+17
214 16800000 201 0 0.571345 0.276792 26.0216 13 4.86768e+15 3.33712e+17
215 16800000 243 1 -1.37674 -0.772777 34.6048 9 4.86768e+15 3.29642e+17
216 16800000 247 0 2.48902 7.82644 28.3212 14 4.84272e+15 3.29642e+17
217 16900000 139 0 0.575665 9.29951 27.0717 14 4.94148e+15 3.33086e+17
218 16900000 197 0 0.0960971 -9.1377 26.2629 14 4.9164e+15 3.33086e+17
219 16900000 240 0 2.12424 3.19552 33.5075 11 4.89157e+15 3.33086e+17
220 16900000 246 0 1.44471 -8.02562 27.4451 14 4.86699e+15 3.33086e+17
221 16900000 248 0 0.208434 -0.76549 30.875 12 4.84265e+15 3.33086e+17
222 16900000 253 0 0.816873 -1.60355 28.6884 14 4.81856e+15 3.33086e+17
223 17000000 200 1 -0.193991 -11.2534 25.9618 8 5.10398e+15 3.34613e+17
224 17000000 234 0 0.134479 6.19576 29.5127 14 5.07871e+15 3.34613e+17
225 17100000 214 1 -1.44309 1.93699 35.7174 8 5.23888e+15 3.38107e+17
226 17100000 251 1 0.226085 10.6996 29.3183 9 5.23888e+15 3.34129e+17
227 17100000 264 0 2.12382 -4.85403 31.7063 13 5.21307e+15 3.34129e+17
228 17200000 232 0 0.31731 3.05187 29.8054 12 5.30462e+15 3.38222e+17
229 17400000 258 0 0.320112 -3.05367 27.6586 13 5.41795e+15 3.4079e+17
230 17500000 260 0 0.635016 4.6233 31.0348 12 5.43684e+15 3.41306e+17
231 17500000 261 0 1.88677 -8.05545 29.9747 12 5.41057e+15 3.41306e+17
232 17600000 212 0 2.35319 1.37998 30.2918 12 5.54182e+15 3.4714e+17
233 17700000 225 1 -0.978486 -6.60431 33.5152 10 5.66788e+15 3.48021e+17
234 17900000 215 0 1.55906 -5.17193 29.6733 12 5.73061e+15 3.54724e+17
235 17900000 263 0 1.73277 -4.82598 27.3848 12 5.70332e+15 3.54724e+17
236 18000000 173 0 1.26491 6.82334 32.4117 12 5.67001e+15 3.52922e+17
237 18000000 224 0 1.83765 -2.43997 32.1749 14 5.64326e+15 3.52922e+17
238 18000000 250 1 0.837687 8.72445 33.6648 7 5.64326e+15 3.48865e+17
239 18000000 281 0 0.708932 -0.264589 31.004 13 5.61677e+15 3.48865e+17
240 18100000 231 0 2.5794 -5.186 25.2883 13 5.75236e+15 3.53263e+17
241 18100000 253 0 1.37959 -1.87242 30.2641 15 5.72561e+15 3.53263e+17
242 18100000 254 1 -1.09052 -5.37344 35.3661 9 5.72561e+15 3.49248e+17
243 18100000 255 0 2.22131 3.95743 27.0079 14 5.6991e+15 3.49248e+17
244 18100000 256 0 0.338292 5.22675 28.6736 14 5.67284e+15 3.49248e+17
245 18100000 257 0 1.1154 5.96441 26.7553 14 5.64682e+15 3.49248e+17
246 18100000 262 1 1.01726 7.52911 34.8454 7 5.64682e+15 3.45324e+17
247 18200000 232 0 1.20028 3.52228 29.4774 13 5.90106e+15 3.56318e+17
248 18200000 268 0 0.894586 0.617385 33.2238 13 5.87423e+15 3.56318e+17
249 18300000 242 0 1.17233 9.61375 31.7984 12 5.9225e+15 3.57595e+17
250 18300000 265 0 1.07164 2.15717 33.6122 12 5.89583e+15 3.57595e+17
251 18300000 270 0 2.05286 3.7742 34.0658 13 5.86939e+15 3.57595e+17
252 18300000 284 0 1.91734 7.7743 31.1036 15 5.84318e+15 3.57595e+17
253 18300000 287 0 1.11526 -6.66728 32.1737 14 5.81721e+15 3.57595e+17
254 18300000 288 0 1.81592 3.69083 31.721 13 5.79147e+15 3.57595e+17
255 18400000 244 0 0.867509 -4.72342 35.2935 13 5.95286e+15 3.63835e+17
256 18400000 247 0 0.747284 10.1082 29.5037 15 5.92676e+15 3.63835e+17
257 18400000 264 0 2.74684 -6.01664 33.8103 14 5.90087e+15 3.63835e+17
258 18500000 233 0 1.27689 -8.59133 31.4326 12 6.00813e+15 3.67342e+17
259 18500000 234 0 0.261545 7.87689 28.9096 15 5.98212e+15 3.67342e+17
260 18600000 165 0 2.28212 0.676325 36.7556 13 6.00047e+15 3.65099e+17
261 18600000 188 1 -1.41713 -3.80398 38.0069 9 6.00047e+15 3.61042e+17
262 18600000 225 1 -0.837022 -8.02276 35.0192 11 6.00047e+15 3.57075e+17
263 18700000 252 0 2.72982 6.51895 35.706 13 6.16605e+15 3.66486e+17
264 18700000 271 0 2.8614 -2.92281 36.6066 13 6.1397e+15 3.66486e+17
265 18700000 273 0 1.64548 -4.96251 31.3778 14 6.11358e+15 3.66486e+17
266 18700000 279 0 1.12772 3.00568 36.1583 12 6.08767e+15 3.66486e+17
267 18800000 189 0 0.721022 -1.35327 36.9109 13 6.37378e+15 3.75201e+17
268 18800000 296 0 0.397991 7.88248 34.1537 13 6.347e+15 3.75201e+17
269 18900000 240 0 0.588883 5.13518 37.2077 12 6.44777e+15 3.76037e+17
270 18900000 285 1 1.55234 3.79132 38.6924 9 6.44777e+15 3.7195e+17
271 19000000 237 1 0.854812 7.23199 38.2229 7 6.62323e+15 3.70905e+17
272 19000000 243 1 -1.5248 -0.453252 39.3478 10 6.62323e+15 3.66959e+17
273 19100000 290 0 2.55168 6.06045 33.6507 13 6.67464e+15 3.684e+17
274 19100000 310 0 1.66685 1.47416 35.8583 13 6.64695e+15 3.684e+17
275 19300000 281 0 2.53821 -1.42689 32.6482 14 6.78103e+15 3.73983e+17
276 19400000 297 0 0.813391 -5.18798 33.0928 15 6.85096e+15 3.78341e+17
277 19500000 212 0 1.62802 1.7394 31.7595 13 6.84337e+15 3.79211e+17
278 19500000 224 0 0.3179 -3.05911 33.5586 15 6.81544e+15 3.79211e+17
279 19500000 326 0 0.833642 4.09672 36.6483 13 6.78773e+15 3.79211e+17
280 19600000 265 0 2.09491 2.62057 34.3589 13 6.93981e+15 3.82656e+17
281 19700000 244 0 2.65403 -6.01886 37.0057 14 7.03533e+15 3.86309e+17
282 19700000 317 0 1.84535 -8.20439 33.7953 15 7.00708e+15 3.86309e+17
283 19800000 225 1 -0.748473 -9.4072 35.8177 12 7.09219e+15 3.87788e+17
284 19800000 268 0 1.84853 -0.240135 35.4439 14 7.06382e+15 3.87788e+17
285 19800000 308 0 2.45014 0.676595 33.5373 14 7.03567e+15 3.87788e+17
286 19900000 324 0 2.93816 -3.65426 36.8463 14 7.24833e+15 4.00024e+17
287 20000000 248 0 0.132528 -2.36904 34.8858 13 7.30269e+15 4.04227e+17
288 20000000 302 1 -0.824604 -8.1014 37.8806 10 7.30269e+15 4.00016e+17
289 20000000 306 1 0.574961 11.774 35.4004 8 7.30269e+15 3.95893e+17
290 20000000 311 0 0.303845 4.39381 34.2052 14 7.27394e+15 3.95893e+17
291 20100000 165 0 1.61506 0.0998886 38.9317 14 7.47165e+15 4.00233e+17
292 20100000 173 0 0.773608 10.6937 33.4901 13 7.44247e+15 4.00233e+17
293 20100000 270 0 0.657474 6.13115 35.3722 14 7.41351e+15 4.00233e+17
294 20100000 315 0 2.39066 -5.70285 35.3841 14 7.38477e+15 4.00233e+17
295 20100000 329 0 1.69999 7.29719 37.5956 13 7.35626e+15 4.00233e+17
296 20200000 214 1 -1.40881 2.01714 41.9406 9 7.64544e+15 4.018e+17
297 20200000 327 0 1.17065 -1.84931 37.6315 14 7.61604e+15 4.018e+17
298 20200000 334 0 0.464721 1.63438 36.8702 14 7.58686e+15 4.018e+17
299 20300000 264 0 1.42006 -7.98977 36.1029 15 7.74854e+15 4.06294e+17
300 20300000 320 0 1.25291 1.86493 40.4753 14 7.71908e+15 4.06294e+17
301 20300000 323 0 0.960153 8.044 36.1857 14 7.68984e+15 4.06294e+17
302 20400000 328 0 2.706 10.5949 35.2494 14 7.93496e+15 4.10602e+17
303 20500000 243 1 -1.4033 -0.543927 41.9896 11 7.94472e+15 4.05497e+17
304 20500000 330 1 1.25203 5.78611 41.7557 10 7.94472e+15 4.01442e+17
305 20600000 240 0 1.83383 7.2372 39.7169 13 8.0892e+15 4.05864e+17
306 20700000 265 0 2.38835 2.82161 34.3916 14 8.12536e+15 4.07342e+17
307 20900000 165 0 1.65467 -1.34696 39.8163 15 8.16015e+15 4.10911e+17
308 20900000 268 0 0.66799 0.204936 37.4702 15 8.12982e+15 4.10911e+17
309 20900000 308 0 1.1092 0.772456 34.5243 15 8.0997e+15 4.10911e+17
310 20900000 310 0 2.71251 3.43901 39.2534 14 8.06982e+15 4.10911e+17
311 20900000 313 0 0.723301 -8.46421 31.5304 15 8.04015e+15 4.10911e+17
312 20900000 339 0 1.99877 4.96211 38.3404 14 8.0107e+15 4.10911e+17
313 20900000 341 0 0.288475 -7.25489 37.4561 15 7.98146e+15 4.10911e+17
314 21100000 244 0 2.96346 -6.75544 39.0974 15 8.22928e+15 4.20092e+17
